t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
0        ;       0 ;    O   ;          4 ;      ? ; fechado
1        ;       1 ;    O   ;          9 ;      ? ; fechado
4        ;       2 ;    E   ;         10 ;      ? ; fechado
7        ;       3 ;    O   ;          2 ;      ? ; entrada
8        ;       4 ;    S   ;          5 ;      ? ; entrada
9        ;       3 ;    O   ;          2 ;      2 ; saida
9        ;       5 ;    E   ;          6 ;      ? ; entrada
10       ;       6 ;    S   ;          4 ;      ? ; entrada
11       ;       7 ;    S   ;          1 ;      ? ; entrada
12       ;       7 ;    S   ;          1 ;      1 ; saida
12       ;       8 ;    S   ;          6 ;      ? ; entrada
13       ;       4 ;    S   ;          5 ;      5 ; saida
14       ;       9 ;    N   ;          6 ;      ? ; entrada
14       ;       6 ;    S   ;          4 ;      4 ; saida
15       ;      10 ;    N   ;          1 ;      ? ; entrada
15       ;       5 ;    E   ;          6 ;      6 ; saida
16       ;      10 ;    N   ;          1 ;      1 ; saida
18       ;       8 ;    S   ;          6 ;      6 ; saida
18       ;      11 ;    O   ;          4 ;      ? ; entrada
20       ;       9 ;    N   ;          6 ;      6 ; saida
20       ;      12 ;    E   ;          4 ;      ? ; entrada
22       ;      11 ;    O   ;          4 ;      4 ; saida
23       ;      13 ;    S   ;          4 ;      ? ; entrada
24       ;      12 ;    E   ;          4 ;      4 ; saida
26       ;      14 ;    S   ;          9 ;      ? ; entrada
27       ;      13 ;    S   ;          4 ;      4 ; saida
28       ;      15 ;    N   ;          8 ;      ? ; entrada
29       ;      16 ;    N   ;          1 ;      ? ; entrada
30       ;      16 ;    N   ;          1 ;      1 ; saida
31       ;      17 ;    O   ;          5 ;      ? ; entrada
33       ;      18 ;    S   ;          6 ;      ? ; entrada
34       ;      19 ;    S   ;          6 ;      ? ; entrada
35       ;      14 ;    S   ;          9 ;      9 ; saida
36       ;      17 ;    O   ;          5 ;      5 ; saida
36       ;      15 ;    N   ;          8 ;      8 ; saida
37       ;      20 ;    E   ;          8 ;      ? ; entrada
39       ;      18 ;    S   ;          6 ;      6 ; saida
40       ;      21 ;    E   ;          1 ;      ? ; entrada
40       ;      19 ;    S   ;          6 ;      6 ; saida
41       ;      21 ;    E   ;          1 ;      1 ; saida
42       ;      22 ;    E   ;          5 ;      ? ; entrada
45       ;      20 ;    E   ;          8 ;      8 ; saida
45       ;      23 ;    N   ;          8 ;      ? ; entrada
46       ;      24 ;    O   ;          8 ;      ? ; entrada
47       ;      22 ;    E   ;          5 ;      5 ; saida
47       ;      25 ;    N   ;          8 ;      ? ; entrada
50       ;      26 ;    N   ;          1 ;      ? ; entrada
51       ;      26 ;    N   ;          1 ;      1 ; saida
53       ;      23 ;    N   ;          8 ;      8 ; saida
53       ;      27 ;    E   ;          6 ;      ? ; entrada
54       ;      28 ;    E   ;          5 ;      ? ; entrada
54       ;      24 ;    O   ;          8 ;      8 ; saida
55       ;      25 ;    N   ;          8 ;      8 ; saida
57       ;      29 ;    S   ;          1 ;      ? ; entrada
58       ;      29 ;    S   ;          1 ;      1 ; saida
59       ;      28 ;    E   ;          5 ;      5 ; saida
59       ;      30 ;    N   ;          1 ;      ? ; entrada
59       ;      27 ;    E   ;          6 ;      6 ; saida
60       ;      31 ;    E   ;          9 ;      ? ; entrada
60       ;      30 ;    N   ;          1 ;      1 ; saida
61       ;      32 ;    S   ;          7 ;      ? ; entrada
64       ;      33 ;    O   ;          4 ;      ? ; entrada
67       ;      34 ;    S   ;          9 ;      ? ; entrada
68       ;      33 ;    O   ;          4 ;      4 ; saida
68       ;      32 ;    S   ;          7 ;      7 ; saida
69       ;      31 ;    E   ;          9 ;      9 ; saida
69       ;      35 ;    O   ;          4 ;      ? ; entrada
70       ;      36 ;    N   ;         10 ;      ? ; entrada
72       ;      37 ;    S   ;          2 ;      ? ; entrada
73       ;      35 ;    O   ;          4 ;      4 ; saida
73       ;      38 ;    S   ;          2 ;      ? ; entrada
74       ;      37 ;    S   ;          2 ;      2 ; saida
74       ;      39 ;    O   ;          6 ;      ? ; entrada
75       ;      40 ;    S   ;          8 ;      ? ; entrada
75       ;      38 ;    S   ;          2 ;      2 ; saida
76       ;      41 ;    S   ;          2 ;      ? ; entrada
76       ;      34 ;    S   ;          9 ;      9 ; saida
77       ;      42 ;    N   ;          3 ;      ? ; entrada
78       ;      41 ;    S   ;          2 ;      2 ; saida
78       ;      43 ;    O   ;          3 ;      ? ; entrada
79       ;      44 ;    O   ;          6 ;      ? ; cheio
79       ;      44 ;    O   ;          6 ;      ? ; cheio
80       ;      36 ;    N   ;         10 ;     10 ; saida
80       ;      45 ;    O   ;          1 ;      ? ; entrada
80       ;      39 ;    O   ;          6 ;      6 ; saida
80       ;      42 ;    N   ;          3 ;      3 ; saida
81       ;      45 ;    O   ;          1 ;      1 ; saida
81       ;      43 ;    O   ;          3 ;      3 ; saida
83       ;      40 ;    S   ;          8 ;      8 ; saida
83       ;      46 ;    E   ;          7 ;      ? ; entrada
86       ;      47 ;    S   ;         10 ;      ? ; entrada
87       ;      48 ;    O   ;          1 ;      ? ; entrada
88       ;      49 ;    S   ;          3 ;      ? ; entrada
88       ;      48 ;    O   ;          1 ;      1 ; saida
90       ;      46 ;    E   ;          7 ;      7 ; saida
91       ;      49 ;    S   ;          3 ;      3 ; saida
91       ;      50 ;    E   ;         10 ;      ? ; entrada
93       ;      51 ;    E   ;          1 ;      ? ; entrada
94       ;      51 ;    E   ;          1 ;      1 ; saida
94       ;      52 ;    S   ;          7 ;      ? ; entrada
95       ;      53 ;    N   ;          6 ;      ? ; entrada
96       ;      47 ;    S   ;         10 ;     10 ; saida
98       ;      54 ;    N   ;          4 ;      ? ; entrada
99       ;      55 ;    N   ;          7 ;      ? ; entrada
101      ;      53 ;    N   ;          6 ;      5 ; saida
101      ;      50 ;    E   ;         10 ;      9 ; saida
