t(ticks) ; nlug ; id_viat ; observ
7        ;    4 ;       3 ; estacionamento
8        ;    3 ;       4 ; estacionamento
9        ;    4 ;       3 ; saida
9        ;    3 ;       5 ; estacionamento
10       ;    2 ;       6 ; estacionamento
11       ;    1 ;       7 ; estacionamento
12       ;    2 ;       7 ; saida
12       ;    1 ;       8 ; estacionamento
13       ;    2 ;       4 ; saida
14       ;    1 ;       9 ; estacionamento
14       ;    2 ;       6 ; saida
15       ;    1 ;      10 ; estacionamento
15       ;    2 ;       5 ; saida
16       ;    3 ;      10 ; saida
18       ;    4 ;       8 ; saida
18       ;    3 ;      11 ; estacionamento
20       ;    4 ;       9 ; saida
20       ;    3 ;      12 ; estacionamento
22       ;    4 ;      11 ; saida
23       ;    3 ;      13 ; estacionamento
24       ;    4 ;      12 ; saida
26       ;    3 ;      14 ; estacionamento
27       ;    4 ;      13 ; saida
28       ;    3 ;      15 ; estacionamento
29       ;    2 ;      16 ; estacionamento
30       ;    3 ;      16 ; saida
31       ;    2 ;      17 ; estacionamento
33       ;    1 ;      18 ; estacionamento
34       ;    0 ;      19 ; estacionamento
35       ;    1 ;      14 ; saida
36       ;    2 ;      17 ; saida
36       ;    3 ;      15 ; saida
37       ;    2 ;      20 ; estacionamento
39       ;    3 ;      18 ; saida
40       ;    2 ;      21 ; estacionamento
40       ;    3 ;      19 ; saida
41       ;    4 ;      21 ; saida
42       ;    3 ;      22 ; estacionamento
45       ;    4 ;      20 ; saida
45       ;    3 ;      23 ; estacionamento
46       ;    2 ;      24 ; estacionamento
47       ;    3 ;      22 ; saida
47       ;    2 ;      25 ; estacionamento
50       ;    1 ;      26 ; estacionamento
51       ;    2 ;      26 ; saida
53       ;    3 ;      23 ; saida
53       ;    2 ;      27 ; estacionamento
54       ;    1 ;      28 ; estacionamento
54       ;    2 ;      24 ; saida
55       ;    3 ;      25 ; saida
57       ;    2 ;      29 ; estacionamento
58       ;    3 ;      29 ; saida
59       ;    4 ;      28 ; saida
59       ;    3 ;      30 ; estacionamento
59       ;    4 ;      27 ; saida
60       ;    3 ;      31 ; estacionamento
60       ;    4 ;      30 ; saida
61       ;    3 ;      32 ; estacionamento
64       ;    2 ;      33 ; estacionamento
67       ;    1 ;      34 ; estacionamento
68       ;    2 ;      33 ; saida
68       ;    3 ;      32 ; saida
69       ;    4 ;      31 ; saida
69       ;    3 ;      35 ; estacionamento
70       ;    2 ;      36 ; estacionamento
72       ;    1 ;      37 ; estacionamento
73       ;    2 ;      35 ; saida
73       ;    1 ;      38 ; estacionamento
74       ;    2 ;      37 ; saida
74       ;    1 ;      39 ; estacionamento
75       ;    0 ;      40 ; estacionamento
75       ;    1 ;      38 ; saida
76       ;    0 ;      41 ; estacionamento
76       ;    1 ;      34 ; saida
77       ;    0 ;      42 ; estacionamento
78       ;    1 ;      41 ; saida
78       ;    0 ;      43 ; estacionamento
79       ;    0 ;      44 ; cheio
80       ;    1 ;      36 ; saida
80       ;    0 ;      45 ; estacionamento
80       ;    1 ;      39 ; saida
80       ;    2 ;      42 ; saida
81       ;    3 ;      45 ; saida
81       ;    4 ;      43 ; saida
83       ;    5 ;      40 ; saida
83       ;    4 ;      46 ; estacionamento
86       ;    3 ;      47 ; estacionamento
87       ;    2 ;      48 ; estacionamento
88       ;    1 ;      49 ; estacionamento
88       ;    2 ;      48 ; saida
90       ;    3 ;      46 ; saida
91       ;    4 ;      49 ; saida
91       ;    3 ;      50 ; estacionamento
93       ;    2 ;      51 ; estacionamento
94       ;    3 ;      51 ; saida
94       ;    2 ;      52 ; estacionamento
95       ;    1 ;      53 ; estacionamento
96       ;    2 ;      47 ; saida
98       ;    1 ;      54 ; estacionamento
99       ;    0 ;      55 ; estacionamento
101      ;    1 ;      53 ; saida
101      ;    2 ;      50 ; saida
101      ;    3 ;      52 ; saida
102      ;    4 ;      54 ; saida
106      ;    5 ;      55 ; encerrado
